,name,desc,cr,immunities,resists,conditions,wins,actions,hp,str,dex,con,int,wis,cha,ac,spd
18,Young Gold Dragon,Large Dragon Lawful Good,10,Fire,,Wild Element,,"Multiattack: Bite, 2 Claw	Bite: +9, 10ft, 2d10+6 Piercing	Claw: +9, 2d6+6 Slashing	Breath Weapon: 30ft, 1x (Fire Breath, Weakening Breath)	Fire Breath: 30ft, 10d10 Psychic (DEX Save)	Weakening Breath: 30ft, Weakened (STR Save)",80,23,14,21,16,13,20,18,80
19,Young Red Dragon,Large Dragon Chaotic Evil,10,Fire,,"Starts Invisibile,Greater Invisible",Oni,"Multiattack: Bite, 2 Claw	Bite: +9, 10ft, 2d10+6 Piercing, 1d6 Fire	Claw: +9, 2d6+6 Slashing	Fire Breath: 60ft, 16d6 Fire (DEX Save)",95,23,10,21,14,11,19,18,80
20,Young Gold Dragon,Large Dragon Lawful Good,10,Fire,,Wild Element,Frost Giant,"Multiattack: Bite, 2 Claw	Bite: +9, 10ft, 2d10+6 Piercing	Claw: +9, 2d6+6 Slashing	Breath Weapon: 30ft, 1x (Fire Breath, Weakening Breath)	Fire Breath: 30ft, 10d10 Psychic (DEX Save)	Weakening Breath: 30ft, Weakened (STR Save)",80,23,14,21,16,13,20,18,80
21,Young Silver Dragon,Large Dragon Lawful Good,9,Cold,,"Legendary Resistor,Legendary Resistance",Young Bronze Dragon,"Multiattack: Bite, 2 Claw	Bite: +9, 10ft, 2d10+6 Piercing	Claw: +9, 2d6+6 Slashing	Breath Weapon: 30ft, 1x (Cold Breath, Paralyzing Breath)	Cold Breath: 30ft, 12d8 Cold (CON Save)	Paralyzing Breath: 30ft, Paralyzed (CON Save)",83,23,10,21,14,11,19,18,80
22,Hezrou,Large Fiend Chaotic Evil,8,"Poison,Poisoned","Bludgeoning,Piercing,Slashing,Cold,Fire,Lightning,Spell,MagicalAbility","Vorpal Blade,Stench",Aboleth,"Bite: +6, 2d10+4 Piercing	Claws: +6, 2d6+4 Slashing	Multiattack: Bite, 2 Claws",78,19,17,20,5,12,13,16,30
23,Young Red Dragon,Large Dragon Chaotic Evil,10,Fire,,"Starts Invisibile,Greater Invisible","Oni, Bone Devil","Multiattack: Bite, 2 Claw	Bite: +9, 10ft, 2d10+6 Piercing, 1d6 Fire	Claw: +9, 2d6+6 Slashing	Fire Breath: 60ft, 16d6 Fire (DEX Save)",95,23,10,21,14,11,19,18,80
24,Roc,Gargantuan Monstrosity Unaligned,11,,,"Magic Resistant,Grappled",,"Beak: +12, 10ft, 4d8+9 Piercing	Talons: +12, 4d6+9 Slashing, Grappled & Restrained	Multiattack: Talons, Beak",125,28,10,20,3,10,9,15,120
25,Nalfeshnee,Large Fiend Chaotic Evil,13,"Poison,Poisoned","Bludgeoning,Piercing,Slashing,Cold,Fire,Lightning,Spell,MagicalAbility",Fan Favorite,,"Bite: +9, 5d10+5 Piercing	Claw: +9, 10ft, 3d6+5 Slashing	Horror Nimbus: 15ft, Frightened (WIS Save)	Multiattack: Horror Nimbus, 2 Claw, Bite	Teleport: 120ft, Teleport",85,21,10,22,19,12,15,18,30
26,Horned Devil,Large Fiend Lawful Evil,11,"Fire,Poison,Poisoned","Cold,Spell,MagicalAbility",Electric Body,,"Tail: +9, 10ft, 1d8+6 Piercing, Bleeding (CON Save, If Not  Undead,  Construct)	Fork: +9, 10ft, 2d8+6 Piercing	Hurl Flame: +6, 150ft, 4d6 Fire	Multiattack: 10ft, 2 Fork, Tail	Multihurl: 150ft, 3 Hurl Flame",64,22,17,21,12,16,17,18,60
27,Remorhaz,Huge Undead Unaligned,11,"Cold,Fire",,"Zombie,Heated Body,Sensitive Stomach,Undead Fortitude",,"Bite: +10, 10ft, 6d10+7 Piercing, 3d6 Fire, Swallowed (If Grappled & Restrained,  Medium), Grappled & Restrained	Digest: 6d6 Acid (If Swallowed)",95,24,13,21,4,10,5,17,30
28,Adult Brass Dragon,Huge Dragon Chaotic Good,13,Fire,,"Memorized One Spell,Legendary,Legendary Resistance",,"Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +10, 10ft, 2d10+6 Piercing	Claw: +10, 2d6+6 Slashing	Tail: +10, 15ft, 2d8+6 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+6 Bludgeoning (DEX Save)	Breath Weapon: 60ft, 1x (Fire Breath, Sleep Breath)	Fire Breath: 60ft, 13d6 Fire (DEX Save)	Sleep Breath: 60ft, Asleep (CON Save)	Plane Shift: Teleport",75,23,10,21,14,13,17,18,80
29,Bear King,Large Fey Lawful Neutral,12,"Poison,Poisoned","Cold,Perception","Frenzied,Legendary,Legendary Resistance,Bear King,Regeneration,Grappled",,"Multiattack: 2 Claws, Bite	Claws: +8, 2d6+5 Slashing	Bite: +8, 1d10+5 Piercing, Bleeding (CON Save, If Not  Undead,  Construct)	Honey Toss: +8, 30ft, Grappled & Restrained	Frightful Roar: 90ft, Frightened (WIS Save)",69,21,10,20,12,17,16,18,40
30,Djinni,Large Elemental Chaotic Good,11,"Lightning,Thunder",,"Die Hard,Relentless",,"Scimitar: +8, 2d6+5 Slashing, 1d6 Thunder	Multiattack: 3 Scimitar	Invisibility: Invisible	Plane Shift: Teleport	Thunderwave: 15ft, 2d8 Thunder (CON Save)",77,21,15,22,15,16,20,17,90
31,Remorhaz,Huge Undead Unaligned,11,"Cold,Fire",,"Zombie,Heated Body,Sensitive Stomach,Undead Fortitude",Gynosphinx,"Bite: +10, 10ft, 6d10+7 Piercing, 3d6 Fire, Swallowed (If Grappled & Restrained,  Medium), Grappled & Restrained	Digest: 6d6 Acid (If Swallowed)",95,24,13,21,4,10,5,17,30
32,Ooze Elemental,Large Elemental Neutral,5,"Poison,Exhaustion,Grappled,Paralyzed,Petrified,Poisoned,Prone,Restrained,Asleep","Bludgeoning,Piercing,Slashing,Acid","Armored,Freezable,Shiny",,"Slam: +6, 2d8+4 Bludgeoning	Squeeze: 2d8+4 Bludgeoning (If Grappled & Restrained)	Multiattack: Squeeze, 2 Slam	Whelm: 2d8+4 Bludgeoning (STR Save)",63,18,14,18,5,10,8,16,30
33,Hill Giant,Huge Giant Chaotic Evil,5,,,Regenerator,,"Multiattack: 10ft, 2 Greatclub	Greatclub: +7, 10ft, 3d8+5 Bludgeoning	Rock: +7, 60ft, 3d10+5 Bludgeoning",62,21,8,19,5,9,6,13,40
34,Xorn,Medium Elemental Neutral,5,,"Piercing,Slashing","Blurred,Blurry",,"Bite: +5, 3d6+3 Piercing	Claw: +5, 1d6+3 Slashing	Multiattack: 3 Claw, Bite",37,17,10,22,11,10,11,19,20
35,Bulette,Large Monstrosity Unaligned,5,,,+2 CHA,,"Bite: +6, 4d12+4 Piercing	Deadly Leap: Prone (STR Save), 3d6+4 Bludgeoning (STR Save), 3d6+4 Slashing (STR Save)",52,19,11,21,2,10,7,17,40
36,Flesh Golem,Medium Construct Neutral,5,"Poison,Charmed,Exhaustion,Frightened,Paralyzed,Petrified,Poisoned,Polymorph","Bludgeoning,Piercing,Slashing","Crit Master,Aversion of Fire",,"Slam: +6, 2d8+4 Bludgeoning	Multiattack: 2 Slam",44,19,9,18,6,10,5,9,30
37,Night Hag,Medium Fiend Neutral Evil,5,"Charmed,Fire","Cold,Spell,MagicalAbility",Red Half-Dragon,,"Claws: +6, 2d8+4 Slashing	Plane Shift: Teleport	Magic Missile: 120ft, 3d4+3 Force	Sleep: 90ft, Asleep (WIS Save)	Ray of Enfeeblement: +5, 60ft, Enfeedbled	Fire Breath: 30ft, 8d6 Fire (DEX Save)",57,18,15,16,16,14,16,17,30
38,Giant Crocodile,Huge Beast Unaligned,5,,,Mirrored,,"Multiattack: Tail, Bite	Bite: +7, 3d10+5 Piercing, Grappled & Restrained	Tail: +7, 10ft, 2d8+5 Bludgeoning, Prone (STR Save)",40,21,9,17,2,10,7,14,30
39,Barbed Devil,Medium Fiend Lawful Evil,5,"Fire,Poison,Poisoned","Cold,Spell,MagicalAbility","Vorpal Blade,Barbed Hide",,"Hurl Flame: +4, 150ft, 3d6 Fire	Claw: +5, 1d6+3 Piercing	Tail: +5, 2d6+3 Piercing	Multiattack: 2 Claw, Tail	Multihurl: 150ft, 2 Hurl Flame",57,16,17,18,12,14,14,15,30
40,Night Hag,Medium Fiend Neutral Evil,5,"Charmed,Fire","Cold,Spell,MagicalAbility",Red Half-Dragon,Gorgon,"Claws: +6, 2d8+4 Slashing	Plane Shift: Teleport	Magic Missile: 120ft, 3d4+3 Force	Sleep: 90ft, Asleep (WIS Save)	Ray of Enfeeblement: +5, 60ft, Enfeedbled	Fire Breath: 30ft, 8d6 Fire (DEX Save)",57,18,15,16,16,14,16,17,30
41,Giant Crocodile,Huge Beast Unaligned,5,,,Mirrored,Blue Dragon Wyrmling,"Multiattack: Tail, Bite	Bite: +7, 3d10+5 Piercing, Grappled & Restrained	Tail: +7, 10ft, 2d8+5 Bludgeoning, Prone (STR Save)",40,21,9,17,2,10,7,14,30
42,Flesh Golem,Medium Construct Neutral,5,"Poison,Charmed,Exhaustion,Frightened,Paralyzed,Petrified,Poisoned,Polymorph","Bludgeoning,Piercing,Slashing","Crit Master,Aversion of Fire",Wraith,"Slam: +6, 2d8+4 Bludgeoning	Multiattack: 2 Slam",44,19,9,18,6,10,5,9,30
43,Hill Giant,Huge Giant Chaotic Evil,5,,,Regenerator,Shambling Mound,"Multiattack: 10ft, 2 Greatclub	Greatclub: +7, 10ft, 3d8+5 Bludgeoning	Rock: +7, 60ft, 3d10+5 Bludgeoning",62,21,8,19,5,9,6,13,40
44,Giant Crocodile,Huge Beast Unaligned,5,,,Mirrored,"Blue Dragon Wyrmling, Bulette","Multiattack: Tail, Bite	Bite: +7, 3d10+5 Piercing, Grappled & Restrained	Tail: +7, 10ft, 2d8+5 Bludgeoning, Prone (STR Save)",40,21,9,17,2,10,7,14,30
45,Hill Giant,Huge Giant Chaotic Evil,5,,,Regenerator,"Shambling Mound, Water Elemental","Multiattack: 10ft, 2 Greatclub	Greatclub: +7, 10ft, 3d8+5 Bludgeoning	Rock: +7, 60ft, 3d10+5 Bludgeoning",62,21,8,19,5,9,6,13,40
46,Hill Giant,Huge Giant Chaotic Evil,5,,,"Regenerator,Prone,Grappled & Restrained","Shambling Mound, Water Elemental, Night Hag","Multiattack: 10ft, 2 Greatclub	Greatclub: +7, 10ft, 3d8+5 Bludgeoning	Rock: +7, 60ft, 3d10+5 Bludgeoning",62,21,8,19,5,9,6,13,40
47,Salamander,Large Elemental Neutral Evil,5,Fire,"Bludgeoning,Piercing,Slashing","Tough,Heated Body",,"Multisqueeze: Tail Squeeze, Spear (If Grappled & Restrained)	Multiattack: Tail, Spear	Tail: +6, 10ft, 2d6+4 Bludgeoning, 2d6 Fire, Grappled & Restrained	Tail Squeeze: 10ft, 2d6+4 Bludgeoning, 2d6 Fire (If Grappled & Restrained)	Spear: +6, 2d8+4 Piercing, 1d6 Fire	Spear Throw: +6, 20ft, 2d6+4 Piercing, 1d6 Fire",72,18,14,15,11,10,12,15,30
48,Chimera,Large Monstrosity Chaotic Evil,6,,,Boots of Charging,,"Multiattack: Bite, Claws, Horns	Breath Weapon Combo: 15ft, Fire Breath, Bite, Claws	Bite: +6, 2d6+4 Piercing	Horns: +6, 1d12+4 Bludgeoning	Claws: +6, 2d6+4 Slashing	Fire Breath: 15ft, 7d8 Fire (DEX Save)",62,19,11,19,3,14,10,14,60
49,Young White Dragon,Large Dragon Chaotic Evil,6,Cold,,+2 STR,,"Multiattack: 10ft, Bite, 2 Claw	Bite: +7, 10ft, 2d10+5 Piercing, 1d8 Cold	Claw: +7, 2d6+5 Slashing	Cold Breath: 30ft, 10d8 Cold (CON Save)",81,20,10,18,6,11,12,17,80
50,Spirit Naga,Large Monstrosity Chaotic Evil,8,"Poison,Poisoned,Charmed",,Memorized One Spell,,"Bite: +6, 10ft, 1d6+4 Piercing, 7d8 Poison (CON Save)	Blight (Level 5): 30ft, 9d8 Necrotic (CON Save, If Not  Undead,  Construct,  Plant), 72 Necrotic (CON Save, If Plant)	Ray of Frost: +5, 60ft, 2d8+0 Cold	Charm Person: 30ft, Charmed (WIS Save) (If Humanoid)	Sleep: 90ft, Asleep (WIS Save)	Hold Person: 60ft, Paralyzed (WIS Save) (If Humanoid)	Lightning Bolt: 100ft, 8d6 Lightning (DEX Save)	Blight: 30ft, 8d8 Necrotic (CON Save, If Not  Undead,  Construct,  Plant), 64 Necrotic (CON Save, If Plant)	Dimension Door: Teleport	Stinking Cloud: 90ft, Stinking Cloud",46,18,17,14,16,15,16,15,40
51,Young Brass Dragon,Large Dragon Chaotic Good,6,Fire,,Blessed By God,,"Multiattack: 10ft, Bite, 2 Claw	Bite: +6, 10ft, 2d10+4 Piercing	Claw: +6, 2d6+4 Slashing	Breath Weapon: 40ft, 1x (Fire Breath, Sleep Breath)	Fire Breath: 40ft, 12d6 Fire (DEX Save)	Sleep Breath: 30ft, Asleep (CON Save)",68,19,10,17,12,11,15,17,80
52,Peanut-Butter II ,Large Elemental Neutral,5,"Fire,Poison,Exhaustion,Grappled,Paralyzed,Petrified,Poisoned,Prone,Restrained,Asleep","Bludgeoning,Piercing,Slashing","Evasive,Heated Body",,"Touch: +5, 2d6+3 Fire, On Fire	Multiattack: Fire Form, 2 Touch	Fire Form: 1d10 Fire, On Fire",48,10,17,16,6,10,7,13,50
53,Oni,Large Giant Lawful Evil,7,,,"Frenzied,Regeneration",,"Glaive: +6, 10ft, 2d10+4 Slashing	Multiattack: 10ft, 2 Glaive	Charm Person: 30ft, Charmed (WIS Save) (If Humanoid)	Sleep: 90ft, Asleep (WIS Save)	Cone of Cold: 60ft, 8d8 Cold (CON Save)",50,19,11,16,14,12,15,16,30
54,Drider,Large Monstrosity Neutral Evil,6,Asleep,Charmed,+2 DEX,,"Multiattack: Bite, 2 Longsword	Multishot: 150ft, 3 Longbow	Bite: +5, 1d4 Piercing, 2d8 Poison	Longsword: +5, 1d10+3 Slashing	Longbow: +6, 150ft, 1d8+4 Piercing, 1d8 Poison	Faerie Fire: 60ft, Faerie Fire (WIS Save)",63,16,18,18,13,14,12,20,30
